video_id,video_timestamp,video_duration,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,suggested_words,url
7250055336395033882,1688035057,14,1646,515,262,21929,#denk_bitte_nach #deutschlandzuerst🇩🇪#ampelmussweg #naziukraineunterstützer #bandera #melnik ,False,denk_bitte_nach,GefallenerEngelausderHölle,3514,1702,21300,293,11000,False,"['denk_bitte_nach', 'deutschlandzuerst🇩🇪', 'ampelmussweg', 'naziukraineunterstützer', 'bandera', 'melnik']",https://www.tiktok.com/@denk_bitte_nach/video/7250055336395033882
7330307678998236448,1706720265,0,3983,133,2,21899,lasst es viral gehen und teilt es🔥 #bauerndemo🚜🚜🚜💪🏻💪🏻💪🏻 #dieampelmussweg #landwirtschaft #bauern #trecker #fürdielandwirtschaft🤝🏼 #bauernernährenuns ,False,agrarbilder_bosse,AgrarBilder_bosse,1363,2434,8642,22,5644,False,"['bauerndemo🚜🚜🚜💪🏻💪🏻💪🏻', 'dieampelmussweg', 'landwirtschaft', 'bauern', 'trecker', 'fürdielandwirtschaft🤝🏼', 'bauernernährenuns']",https://www.tiktok.com/@agrarbilder_bosse/video/7330307678998236448
7324979210437528864,1705479630,11,4010,35,289,21832,Für ein starkes Land!  #ZeitfürdieAfD #MutzurWahrheit #AfD #Deutschland #andreazuercher #alternativefürdeutschland #afdimbundestag #AfDimLandtag #afddeutschland #aliceweidel #afdfraktion ,False,andreazuercherafd,Andrea Zürcher AfD 💙,93100,1846,935700,460,15300,False,"['zeitfürdieafd', 'mutzurwahrheit', 'afd', 'deutschland', 'andreazuercher', 'alternativefürdeutschland', 'afdimbundestag', 'afdimlandtag', 'afddeutschland', 'aliceweidel', 'afdfraktion']",https://www.tiktok.com/@andreazuercherafd/video/7324979210437528864
7238934533557587226,1685445796,118,2207,299,312,21823,"So viel zu denjenigen die irgendeinen bullshit labern, von wegen die AfD arbeitet gegen Familien mit Kindern und dieser ganze Mist den ihr so von euch gebt! #seischlauwählblau #afd #fürdiezukunftunsererkinder #ampelmussweg #grünemüssenweg #wahnsinnstoppen ",False,afd_bluey,💙Bluey💙,16700,1876,152800,520,29700,False,"['seischlauwählblau', 'afd', 'fürdiezukunftunsererkinder', 'ampelmussweg', 'grünemüssenweg', 'wahnsinnstoppen']",https://www.tiktok.com/@afd_bluey/video/7238934533557587226
7352143439992999200,1711804296,0,4608,226,54,21823,#rennsport #motorcycle #motorsport #autoliebe #verbrenner #grüneneindanke #Porsche #Audi #mclaren #F1 #nissan #sorrythomas #VW #mazda #bmw #ferrari ,False,nico_cars4ever,Nico🇩🇪,767,9271,15300,25,165500,False,"['rennsport', 'motorcycle', 'motorsport', 'autoliebe', 'verbrenner', 'grüneneindanke', 'porsche', 'audi', 'mclaren', 'f1', 'nissan', 'sorrythomas', 'vw', 'mazda', 'bmw', 'ferrari']",https://www.tiktok.com/@nico_cars4ever/video/7352143439992999200
7212992119730867462,1679405602,11,1141,21,145,21813,Man hat es nicht immer leicht 🤡😅 #ZeitfürdieAfD #MutzurWahrheit #AfD #Deutschland #andreazuercher #alternativefürdeutschland #afdimbundestag #AfDimLandtag #afddeutschland ,False,andreazuercherafd,Andrea Zürcher AfD 💙,93100,1846,935700,460,15300,False,"['zeitfürdieafd', 'mutzurwahrheit', 'afd', 'deutschland', 'andreazuercher', 'alternativefürdeutschland', 'afdimbundestag', 'afdimlandtag', 'afddeutschland']",https://www.tiktok.com/@andreazuercherafd/video/7212992119730867462
7335029299939904800,1707819605,15,4966,61,689,21786,#fürdich #foryou #foryoupage #fypシ #fyp #staystrong #widerstand #keinverbrechen #afd #afdfraktion #afddeutschland #afdfraktion ,False,team_afd_svenja,Svenja,10700,6294,96300,1402,24900,False,"['fürdich', 'foryou', 'foryoupage', 'fypシ', 'fyp', 'staystrong', 'widerstand', 'keinverbrechen', 'afd', 'afdfraktion', 'afddeutschland', 'afdfraktion']",https://www.tiktok.com/@team_afd_svenja/video/7335029299939904800
7335046081207700768,1707823511,15,5545,126,710,21771,#afdfraktion #afddeutschland #afd #keinverbrechen #widerstand #staystrong #fyp #fypシ #foryoupage #foryou #fürdich ,False,team_afd_svenja,Svenja,10700,6294,96300,1402,24900,False,"['afdfraktion', 'afddeutschland', 'afd', 'keinverbrechen', 'widerstand', 'staystrong', 'fyp', 'fypシ', 'foryoupage', 'foryou', 'fürdich']",https://www.tiktok.com/@team_afd_svenja/video/7335046081207700768
7235982427364035867,1684758465,59,2821,203,117,21742,Der Skandal um Robert Habeck... #hosshopf #hosshopfpodcast #habeckmussweg #graichen #diegrünen #politik ,False,hoss.hopfmentality,Hoss&Hopf Mentality,8891,0,132300,44,22,False,"['hosshopf', 'hosshopfpodcast', 'habeckmussweg', 'graichen', 'diegrünen', 'politik']",https://www.tiktok.com/@hoss.hopfmentality/video/7235982427364035867
7316073789815639328,1703406181,7,1882,27,133,21708,#aliceweidelforbundeskanzlerin #fürdich #nurnochafd #aliceweidel💙 #viral #deutschland🇩🇪 #deutschlandzuerst🇩🇪 #weihnachten ,False,ziegenhainer21,ziegenhainer21,23500,43,119000,174,92,False,"['aliceweidelforbundeskanzlerin', 'fürdich', 'nurnochafd', 'aliceweidel💙', 'viral', 'deutschland🇩🇪', 'deutschlandzuerst🇩🇪', 'weihnachten']",https://www.tiktok.com/@ziegenhainer21/video/7316073789815639328
